compid;compid;composito;holeid;midx;midy;midz;sampleid;campana;starkey_min;bwi_kwh_tc;bwi_kwh_tm;ai_;rec_cut_pct;rec_as_pct;rec_ag_pct;rec_zn_pct;rec_peso_pct;velsed_cf12_mh;pct_sol_finalescf;velsed_sflo_mh;sol_finalessf_pct;ys54pct_pa;ys57pct_pa;ys60pct_pa;ph_natural;lito;alte;piso;uge;ind88;ugm_starkey;ugm_wi;ugm_rec_cu;ugm_rec_as;ugm_rec_ag;ugm_rec_ag_a;ugm_rec_zn;ugm_velsed;ugm_ys;kcuklimpel;kagklimpel;kcugz;kaggz;recmasicacf_12min;recmasicatf_12min;bo;cs;cpy;cv;esf;en;py;tetra;ten;ag;as;au;cut;cus;fet;mo;pb;sb;zn
compid;compid;PGD-012;MHDD0033;9232.205;24519.015;2137.733;MGM-17920;PGD2016;21.7;11.4;12.6;-99;97.2;94.4;96.5;96.1;25.39;5.7;50.03;0.03;19.06;6.24;19.98;41.68;-99;Granodiorita;Filica;AAS;BHX;1;3;3;3;3;3;3;3;23;3;-99;-99;0.53;-99;25.69;25.393;0;0.5;0.03;0;0.88;0.08;8.13;0;0.02;0.002;0.024;0.1;0.91;0.04;3.68;0.001;0.178;0.008;0.565
compid;compid;PGD-013;MHDD0080;8885.859;24374.982;2240.34;MGM-17921;PGD2016;43;13.9;15.4;-99;90;78.5;76.6;63.7;15.6;3.5;45.43;0.07;30.3;5.57;13.26;18.53;-99;Andesita;Filica;BAS;C1;1;3;3;4;4;6;6;2;4;2;-99;-99;0.28;-99;16.485;15.599;0;0.62;0.01;0;0.18;0.23;6.47;0;0;0.001;0.041;0.04;1.16;0.08;4.19;0.001;0.104;0.001;0.099
compid;compid;PGD-014;MHDD0056;9018.254;24547.623;2227.698;MGM-17922;PGD2016;53.7;14.7;16.2;-99;95.9;97.2;94.1;90.2;20.64;22.9;42.36;0.14;39.12;4.35;12.88;20.07;-99;Andesita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;6;5;-99;-99;0.56;-99;21.711;20.641;0;0.32;0.06;0;0.4;0.35;7.49;0.02;0.49;0.002;0.088;0.06;1.33;0.02;4.04;0.001;0.13;0.012;0.255
compid;compid;PGD-015;MHDD0056;9022.215;24547.183;2216.38;MGM-17923;PGD2016;36;11.5;12.7;-99;97.9;95.8;96.2;92.6;34.66;11.2;42.2;0.1;34.4;10.17;28.87;43.13;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.45;-99;33.839;34.664;0.02;1.58;0.08;0;0.32;0.49;8.83;0.01;0.45;0.003;0.226;0.2;1.46;0.05;3.36;0.001;0.065;0.015;0.225
compid;compid;PGD-016;MHDD0059;9115.421;24568.738;2264.271;MGM-17924;PGD2016;41;12.7;14;-99;89.9;83;90.1;82.2;18.07;3;49.11;0.06;30.47;7.68;13.37;24.79;-99;Andesita;Argilica Ava;BAS;C5;1;5;5;4;4;5;5;2;6;6;-99;-99;0.35;-99;17.612;18.069;0;0.7;0.03;0;0.23;0.19;11;0.03;0.14;0.004;0.096;0.17;1.09;0.08;4.43;0.002;0.06;0.041;0.168
compid;compid;PGD-017;MHDD0059;9118.557;24568.462;2255.043;MGM-17925;PGD2016;34.7;11.7;12.9;-99;95.7;95.4;94.1;94.9;33.4;5.8;49.44;0.09;36.3;4.8;17.13;33.69;-99;Andesita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.7;-99;32.932;33.402;0;0.7;0.03;0;0.23;0.19;11;0.03;0.14;0.004;0.096;0.17;1.09;0.08;4.43;0.002;0.06;0.041;0.168
compid;compid;PGD-018;MHDD0041;9132.093;24929.613;2223.49;MGM-17926;PGD2016;31;13.3;14.6;-99;93.2;90.1;83;78.7;17.76;4.3;50.3;0.06;31.4;7.09;8.95;20.68;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.4;-99;18.359;17.757;0;0.81;0.01;0;0.08;0.27;6.63;0.01;0.1;0.001;0.072;0.02;0.42;0.07;3;0.001;0.035;0.001;0.068
compid;compid;PGD-019;MHDD0041;9138.451;24929.317;2201.909;MGM-17927;PGD2016;30.9;12.6;13.9;-99;95.5;89.2;88.2;80.1;23.48;8.6;54.52;0.16;45.95;4.82;6.09;13.86;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.5;-99;23.742;23.483;0;1.15;0.01;0;0.15;0.34;11.05;0.02;0.17;0.001;0.091;0.02;1.18;0.07;4.08;0.001;0.014;0.002;0.046
compid;compid;PGD-020;MHDD0092;9209.45;24749.091;2221.501;MGM-17928;PGD2016;20.9;11.2;12.4;-99;88.3;84.6;83.4;72.6;26.81;24.7;51.43;0.15;44.21;12.91;20.33;27.7;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.6;-99;27.242;26.811;0;0.52;0.01;0;0.14;0.22;5.57;0.01;0.1;0.002;0.045;0.06;0.53;0.1;2.48;0.002;0.072;0.004;0.175
compid;compid;PGD-021;MHDD0068;8989.822;24723.216;2248.831;MGM-17929;PGD2016;42.2;13.2;14.5;-99;86.8;77.7;86.6;71.4;20.45;7.4;49.47;0.08;32.69;10.33;16.67;36.03;-99;Andesita;Argilica Ava;AAS;C1;0;4;4;5;3;4;4;3;6;6;-99;-99;0.2;-99;20.654;20.451;0;0.14;0.04;0;0.45;0.19;9.37;0.03;0.21;0.002;0.051;0.06;0.49;0.05;4.57;0.001;0.113;0.015;0.287
compid;compid;PGD-022;MHDD0095;9062.737;24751.228;2079.003;MGM-17930;PGD2016;22.9;12.6;13.9;-99;93.6;94.1;91.4;93.2;27.37;3.3;40.11;0.06;27.28;20.3;53.83;103.3;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.2;-99;26.549;27.366;0.12;0.81;0.12;0;0.61;0.58;10.73;0.01;0.42;0.002;0.161;0.08;1.43;0.08;5.4;0.001;0.065;0.003;0.39
compid;compid;PGD-023;MHDD0090;9235.127;24990.158;2219.509;MGM-17931;PGD2016;38.6;13.5;14.9;-99;90.9;90;89.7;87.7;18.17;4.9;42.31;0.11;34.77;7.97;10.12;13.58;-99;Granodiorita;Argilica;BAS;BHX;1;5;5;3;4;5;5;3;5;4;-99;-99;0.3;-99;18.787;18.17;0;1.89;0.14;0;0.68;0.05;8.63;0.05;0.05;0.003;0.019;0.01;2.01;0.08;4.24;0.002;0.046;0.017;0.422
compid;compid;PGD-024;MHDD0090;9230.26;24990.142;2211.061;MGM-17932;PGD2016;48.6;15.1;16.6;-99;96.7;94.5;94.2;95;20.05;24.7;57.22;0.17;50.52;2.54;4.44;9.54;-99;Andesita;Argilica;BAS;C5;1;5;5;4;4;5;5;2;6;6;-99;-99;0.3;-99;19.4;20.052;0;1.89;0.14;0;0.68;0.05;8.63;0.05;0.05;0.003;0.019;0.01;2.01;0.08;4.24;0.002;0.046;0.017;0.422
